Masa Fragmento 1 (4He): 4.003 u
Masa Fragmento 2 (3He): 3.016 u
E1 (MeV)     E2 (MeV)     Sección Eficaz     E_rel (MeV) 
24.000000    7.215667     2.751083e-01       3.144400    
24.000000    7.215769     2.750742e-01       3.144600    
24.000000    7.216074     2.749715e-01       3.145200    
11.000000    18.301413    1.377010e-01       2.877762    
11.000000    18.301527    1.376229e-01       2.878051    
11.000000    18.301867    1.373892e-01       2.878918    
11.500000    17.889893    2.405246e-01       2.723824    
11.500000    17.890008    2.403440e-01       2.724114    
11.500000    17.890351    2.398038e-01       2.724987    
12.000000    17.475867    4.485922e-01       2.583084    
12.000000    17.475982    4.481110e-01       2.583376    
12.000000    17.476328    4.466724e-01       2.584252    
12.500000    17.059566    9.530812e-01       2.455285    
12.500000    17.059682    9.515247e-01       2.455579    
12.500000    17.060031    9.468788e-01       2.456459    
13.000000    16.641200    2.455749e+00       2.340216    
13.000000    16.641317    2.450230e+00       2.340510    
13.000000    16.641667    2.433748e+00       2.341392    
13.500000    16.220954    4.295670e+00       2.237701    
13.500000    16.221071    4.298036e+00       2.237995    
13.500000    16.221423    4.304795e+00       2.238878    
14.000000    15.798994    1.882478e+00       2.147604    
14.000000    15.799111    1.887888e+00       2.147898    
14.000000    15.799465    1.904205e+00       2.148780    
14.500000    15.375470    7.512119e-01       2.069820    
14.500000    15.375588    7.531150e-01       2.070114    
14.500000    15.375942    7.588585e-01       2.070995    
15.000000    14.950517    3.873184e-01       2.004281    
15.000000    14.950636    3.881450e-01       2.004574    
15.000000    14.950990    3.906372e-01       2.005453    
15.500000    14.524258    2.499488e-01       1.950948    
15.500000    14.524376    2.503969e-01       1.951240    
15.500000    14.524731    2.517466e-01       1.952116    
16.000000    14.096802    1.943465e-01       1.909816    
16.000000    14.096920    1.946304e-01       1.910107    
16.000000    14.097276    1.954850e-01       1.910979    
16.500000    13.668250    1.729458e-01       1.880909    
16.500000    13.668368    1.731461e-01       1.881198    
16.500000    13.668722    1.737488e-01       1.882065    
17.000000    13.238690    1.663630e-01       1.864284    
17.000000    13.238808    1.665154e-01       1.864570    
17.000000    13.239162    1.669740e-01       1.865431    
17.500000    12.808206    1.654932e-01       1.860029    
17.500000    12.808324    1.656157e-01       1.860313    
17.500000    12.808677    1.659841e-01       1.861167    
18.000000    12.376871    1.658129e-01       1.868268    
18.000000    12.376988    1.659156e-01       1.868550    
18.000000    12.377340    1.662244e-01       1.869395    
18.500000    11.944750    1.652089e-01       1.889160    
18.500000    11.944867    1.652987e-01       1.889438    
18.500000    11.945217    1.655686e-01       1.890274    
19.000000    11.511903    1.631144e-01       1.922899    
19.000000    11.512019    1.631977e-01       1.923175    
19.000000    11.512367    1.634484e-01       1.924000    
19.500000    11.078381    1.604036e-01       1.969725    
19.500000    11.078496    1.604901e-01       1.969997    
19.500000    11.078842    1.607506e-01       1.970811    
20.000000    10.644230    1.606636e-01       2.029919    
20.000000    10.644345    1.607755e-01       2.030187    
20.000000    10.644688    1.611127e-01       2.030988    
20.500000    10.209490    1.772251e-01       2.103814    
20.500000    10.209603    1.774361e-01       2.104077    
20.500000    10.209943    1.780732e-01       2.104864    
21.000000    9.774191     2.732998e-01       2.191797    
21.000000    9.774304     2.739102e-01       2.192054    
21.000000    9.774640     2.757520e-01       2.192828    
21.500000    9.338360     5.021922e-01       2.294319    
21.500000    9.338471     5.024762e-01       2.294571    
21.500000    9.338804     5.033074e-01       2.295328    
22.000000    8.902015     3.610833e-01       2.411903    
22.000000    8.902124     3.609256e-01       2.412150    
22.000000    8.902453     3.604537e-01       2.412890    
22.500000    8.465164     2.793237e-01       2.545157    
22.500000    8.465272     2.792963e-01       2.545398    
22.500000    8.465597     2.792145e-01       2.546120    
23.000000    8.027809     2.591307e-01       2.694787    
23.000000    8.027916     2.591271e-01       2.695021    
23.000000    8.028235     2.591163e-01       2.695723    
23.500000    7.589941     2.493626e-01       2.861615    
23.500000    7.590046     2.493473e-01       2.861842    
23.500000    7.590360     2.493012e-01       2.862522    
24.000000    7.151538     2.270957e-01       3.046603    
24.000000    7.151641     2.270610e-01       3.046823    
24.000000    7.151950     2.269571e-01       3.047481    
11.000000    18.158820    1.063837e-01       2.727867    
11.000000    18.158934    1.063324e-01       2.728178    
11.000000    18.159278    1.061786e-01       2.729112    
11.500000    17.750917    1.751104e-01       2.575098    
11.500000    17.751032    1.750067e-01       2.575411    
11.500000    17.751380    1.746961e-01       2.576351    
12.000000    17.340433    2.951365e-01       2.435592    
12.000000    17.340550    2.949072e-01       2.435907    
12.000000    17.340900    2.942209e-01       2.436851    
12.500000    16.927607    5.202509e-01       2.309093    
12.500000    16.927725    5.196928e-01       2.309409    
12.500000    16.928077    5.180246e-01       2.310357    
13.000000    16.512650    9.958126e-01       2.195388    
13.000000    16.512768    9.942753e-01       2.195705    
13.000000    16.513122    9.896860e-01       2.196655    
13.500000    16.095751    2.146971e+00       2.094306    
13.500000    16.095869    2.142394e+00       2.094623    
13.500000    16.096225    2.128739e+00       2.095574    
14.000000    15.677080    4.352585e+00       2.005709    
14.000000    15.677199    4.346850e+00       2.006026    
14.000000    15.677556    4.329466e+00       2.006978    
14.500000    15.256790    3.736086e+00       1.929497    
14.500000    15.256909    3.744261e+00       1.929814    
14.500000    15.257267    3.768698e+00       1.930765    
15.000000    14.835019    1.786127e+00       1.865602    
15.000000    14.835138    1.791481e+00       1.865919    
15.000000    14.835497    1.807639e+00       1.866867    
15.500000    14.411892    9.525856e-01       1.813988    
15.500000    14.412011    9.551606e-01       1.814304    
15.500000    14.412371    9.629342e-01       1.815249    
16.000000    13.987521    6.198500e-01       1.774651    
16.000000    13.987641    6.212962e-01       1.774965    
