#Z   A   Spin   Magnetic moment (µN)   g-factor
59   139   5.5   6.6   1.2
59   141   2.5   4.2754   1.7101600000000001
59   142   2.0   0.234   0.117
59   143   3.5   2.701   0.7717142857142857
59   144   1.0   -1.2   -1.2
60   134   2.0   1.2   0.6
60   135   4.5   -0.78   -0.17333333333333334
60   136   10.0   11.0   1.1
60   137   0.5   -0.633   -1.266
60   138   10.0   -1.74   -0.174
60   139   1.5   0.907   0.6046666666666667
60   140   10.0   -1.92   -0.192
60   141   1.5   1.012   0.6746666666666666
60   142   2.0   1.69   0.845
60   143   3.5   -1.065   -0.30428571428571427
60   144   2.0   0.32   0.16
60   145   3.5   -0.656   -0.18742857142857144
60   146   2.0   0.58   0.29
60   147   2.5   0.578   0.2312
60   148   2.0   0.7   0.35
60   149   2.5   0.351   0.1404
60   150   2.0   0.76   0.38
61   138   3.0   3.2   1.0666666666666667
61   143   2.5   3.8   1.52
61   144   5.0   1.69   0.33799999999999997
61   145   2.5   3.8   1.52
61   147   3.5   2.58   0.7371428571428572
61   148   1.0   2.1   2.1
61   149   3.5   3.3   0.9428571428571428
61   151   2.5   1.8   0.78
62   138   10.0   10   1.0
62   139   0.5   -0.53   -1.06
62   140   10.0   -1.8   -0.18
62   141   0.5   -0.74   -1.48
62   142   7.0   0.42   0.06
62   143   1.5   1.01   0.6733333333333333
62   144   2.0   1.5   0.75
62   145   3.5   -1.11   -0.31714285714285717
62   147   3.5   -0.812   -0.232
62   148   2.0   0.51   0.255
62   149   3.5   -0.6677   -0.19077142857142856
62   150   2.0   0.77   0.385
62   151   2.5   -0.3611   -0.14443999999999999
62   152   2.0   0.8   0.4
62   153   1.5   -0.021   -0.014
62   154   2.0   0.78   0.39
62   155   1.5   1.13   0.7533333333333333
63   138   6.0   5.3   0.8833333333333333
63   139   5.5   6.1   1.1090909090909091
63   140   1.0   1.365   1.365
63   141   2.5   3.494   1.3976000000000002
63   142   1.0   1.54   1.54
63   143   2.5   3.673   1.4692
63   144   1.0   1.893   1.893
63   145   2.5   3.999   1.5996000000000001
63   146   4.0   1.421   0.35525
63   147   2.5   3.736   1.4944000000000002
63   148   5.0   2.34   0.46799999999999997
63   149   2.5   3.576   1.4304000000000001
63   150   5.0   2.708   0.5416000000000001
63   151   2.5   3.4717   1.38868
63   152   3.0   -1.9401   -0.6466999999999999
63   153   2.5   1.5324   0.61296
63   154   3.0   -2.005   -0.6683333333333333
63   155   2.5   1.52   0.608
63   157   2.5   1.5   0.6
63   158   1.0   1.44   1.44
63   159   2.5   1.38   0.5519999999999999
64   144   10.0   12.76   1.276
64   146   3.0   2.1   0.7000000000000001
64   147   3.5   1.02   0.2914285714285714
64   148   9.0   -0.16   -0.017777777777777778
64   149   3.5   0.88   0.25142857142857145
64   151   3.5   0.77   0.22
64   152   2.0   0.96   0.48
64   153   1.5   0.38   0.25333333333333335
64   154   2.0   0.96   0.48
64   155   1.5   -0.2572   -0.17146666666666666
64   156   2.0   0.82   0.41
64   157   1.5   -0.3398   -0.22653333333333334
64   158   2.0   0.78   0.39
64   159   1.5   -0.44   -0.29333333333333333
64   160   2.0   0.72   0.36
65   147   0.5   1.7   3.4
65   148   2.0   -1.75   -0.875
65   149   0.5   1.35   2.7
65   150   2.0   -0.9   -0.45
65   151   0.5   0.919   1.838
65   152   2.0   -0.58   -0.29
65   153   2.5   3.44   1.376
65   154   3.0   1.6   0.5333333333333333
65   155   1.5   2.01   1.3399999999999999
65   166   3.0   1.7   0.5666666666666667
65   157   1.5   2.01   1.3399999999999999
65   158   3.0   1.758   0.586
65   159   1.5   2.014   1.3426666666666665
65   160   3.0   1.79   0.5966666666666667
65   161   1.5   2.2   1.4666666666666668
66   147   0.5   -0.915   -1.83
66   149   3.5   -0.119   -0.033999999999999996
66   151   3.5   -0.945   -0.26999999999999996
66   152   21.0   11.6   0.5523809523809524
66   153   3.5   -0.782   -0.22342857142857145
66   155   1.5   -0.385   -0.25666666666666665
66   156   2.0   0.78   0.39
66   157   1.5   -0.301   -0.20066666666666666
66   158   2.0   0.72   0.36
66   159   1.5   -0.354   -0.236
66   160   2.0   0.74   0.37
66   161   2.5   -0.48   -0.192
66   162   2.0   0.69   0.345
66   163   2.5   0.673   0.2692
66   164   2.0   0.68   0.34
66   165   3.5   -0.52   -0.14857142857142858
67   152   2.0   -1.02   -0.51
67   153   5.5   6.81   1.238181818181818
67   154   2.0   -0.643   -0.3215
67   155   2.5   3.51   1.404
67   156   4.0   2.99   0.7475
67   157   3.5   4.35   1.2428571428571427
67   158   5.0   3.77   0.754
67   159   3.5   4.28   1.2228571428571429
67   160   5.0   3.71   0.742
67   161   3.5   4.25   1.2142857142857142
67   162   6.0   3.6   0.6
67   163   3.5   4.23   1.2085714285714286
67   165   3.5   4.17   1.1914285714285715
67   166   7.0   3.6   0.5142857142857143
68   152   8.0   -0.6   -0.075
68   153   3.5   -0.934   -0.26685714285714285
68   154   11.0   0.169   0.015363636363636364
68   155   3.5   -0.669   -0.19114285714285714
68   156   2.0   0.8   0.4
68   157   1.5   -0.412   -0.27466666666666667
68   158   2.0   0.72   0.36
68   159   1.5   -0.304   -0.20266666666666666
68   160   4.0   1.28   0.32
68   161   1.5   -0.365   -0.24333333333333332
68   163   2.5   0.557   0.22280000000000003
68   164   2.0   0.697   0.3485
68   165   2.5   0.643   0.2572
68   166   2.0   0.649   0.3245
68   167   3.5   -0.56385   -0.1611
68   168   2.0   0.62   0.31
68   169   0.5   0.52   1.04
68   170   2.0   0.633   0.3165
68   171   2.5   0.659   0.2636
69   156   2.0   0.4   0.2
69   157   0.5   0.476   0.952
69   158   2.0   0.04   0.02
69   159   2.5   3.42   1.3679999999999999
69   160   1.0   0.16   0.16
69   161   3.5   2.4   0.6857142857142857
69   162   1.0   0.068   0.068
69   163   0.5   -0.082   -0.164
69   164   1.0   2.83   2.83
69   165   0.5   -0.139   -0.278
69   166   2.0   0.092   0.046
69   167   0.5   -0.197   -0.394
